time_idx,center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
1,0,0,0,0,0,0.0,0.0,pca,-0.16658833012822055,0.27685150614137827
1,0,0,1,0,1,0.33333334,0.0,pca,0.08841518479506319,0.20728464336875793
1,1,0,1,1,3,0.6666667,0.0,pca,0.17812591717691525,-0.2780569207645899
2,0,0,1,0,1,0.33333334,0.0,pca,0.1319247470466499,0.21152896424721557
3,0,0,0,0,0,0.0,0.0,pca,-0.150763692436608,0.2717267145080563
3,0,1,1,1,5,0.6666667,0.0,pca,0.3953880251615881,-0.054536180951207686
3,1,0,0,0,2,0.33333334,1.0,pca,-0.08768126105887719,-0.21108438703340485
5,1,0,0,0,2,0.33333334,1.0,pca,-0.10687841288996006,-0.18208641573618808
7,1,0,0,0,2,0.33333334,1.0,pca,-0.0825068557348755,-0.23596474539937576
7,1,0,0,0,2,0.33333334,1.0,pca,-0.36127205463055934,-0.2104310847128917
7,0,0,0,0,0,0.0,0.0,pca,-0.0539313461164343,0.3016056396381127
10,1,0,0,0,2,0.33333334,1.0,pca,-0.08250689279754567,-0.2359648060066695
11,0,1,1,1,5,0.6666667,0.0,pca,0.3386847512448049,0.005422493335758838
11,1,0,0,0,2,0.33333334,1.0,pca,-0.24107208733876667,-0.1552902151926477
12,0,1,0,1,4,0.33333334,0.0,pca,-0.19627155758725617,0.10175784862003237
12,1,0,0,0,2,0.33333334,1.0,pca,-0.0876812558704695,-0.21108439812716082
12,0,1,0,1,4,0.33333334,0.0,pca,-0.019827619518505382,0.14460745806440242
12,1,0,0,0,2,0.33333334,1.0,pca,-0.0825068600922024,-0.23596476923825468
13,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685525036454,-0.23596479618472901
13,1,0,0,0,2,0.33333334,1.0,pca,-0.24107221528558784,-0.15529025827864787
13,1,0,0,0,2,0.33333334,1.0,pca,-0.2208981153888664,-0.2659423872066814
13,1,0,0,0,2,0.33333334,1.0,pca,-0.08250684754426704,-0.23596475561638622
14,0,1,0,1,4,0.33333334,0.0,pca,-0.13006087901401142,0.03302312097554863
14,1,0,0,0,2,0.33333334,1.0,pca,-0.2777632294079581,-0.24664868864491088
14,0,1,1,1,5,0.6666667,0.0,pca,0.4445127682649601,-0.06022173361141411
14,0,0,0,0,0,0.0,0.0,pca,-0.30538498561125516,0.27011075113352107
16,0,1,1,1,5,0.6666667,0.0,pca,0.3152499872664175,0.016370200606657476
16,1,0,0,0,2,0.33333334,1.0,pca,-0.08250691257220014,-0.2359647202616789
16,0,1,0,1,4,0.33333334,0.0,pca,-0.08769699048345322,0.02645796921622215
16,1,0,0,0,2,0.33333334,1.0,pca,-0.2777632210259711,-0.24664870234532257
16,0,1,1,1,5,0.6666667,0.0,pca,0.39538806869161836,-0.054536167305404754
16,0,0,0,0,0,0.0,0.0,pca,-0.29109084750449243,0.26100855109191207
17,0,0,1,0,1,0.33333334,0.0,pca,0.26095559660275447,0.19050857696583087
18,1,0,0,0,2,0.33333334,1.0,pca,-0.08250689288609928,-0.23596477366493177
18,1,0,0,0,2,0.33333334,1.0,pca,-0.08768129065084995,-0.21108444224450454
19,1,0,0,0,2,0.33333334,1.0,pca,-0.08250685661896251,-0.23596476656591173
19,1,0,0,0,2,0.33333334,1.0,pca,-0.2208981328645649,-0.26594236869372434
19,0,1,0,1,4,0.33333334,0.0,pca,-0.13006091631353675,0.03302313032161863
19,0,0,0,0,0,0.0,0.0,pca,-0.29504635137623236,0.2254739785760454
19,0,0,0,0,0,0.0,0.0,pca,-0.22509783441344977,0.27387379343689655
22,0,1,1,1,5,0.6666667,0.0,pca,0.39538807675308585,-0.05453614767584089
22,0,1,0,1,4,0.33333334,0.0,pca,-0.19627158181360943,0.10175783480247116
22,0,1,0,1,4,0.33333334,0.0,pca,-0.08769693261664338,0.02645798903380467
23,0,1,1,1,5,0.6666667,0.0,pca,0.3953880725439398,-0.05453615653756019
23,0,1,1,1,5,0.6666667,0.0,pca,0.3953880420464173,-0.05453614459851244
23,0,0,0,0,0,0.0,0.0,pca,-0.15076365866159935,0.2717266996645309
25,0,0,1,0,1,0.33333334,0.0,pca,0.11479809444120023,0.22018661089973462
26,1,0,0,0,2,0.33333334,1.0,pca,-0.08250683768905387,-0.23596475290862354
