time_idx,center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
0,0,1,1,1,5,0.6666667,0.0,pca,0.49049800244578196,0.062361653160392605
0,0,0,0,0,0,0.0,0.0,pca,-0.1831221977098601,0.2536327385524599
0,1,0,0,0,2,0.33333334,1.0,pca,-0.3503933741100953,-0.20300794135220387
0,1,0,1,1,3,0.6666667,0.0,pca,0.24082474258029463,-0.2770500490895249
1,1,0,0,0,2,0.33333334,1.0,pca,-0.0389986964721282,-0.1949379441677999
1,1,1,1,1,7,1.0,0.0,pca,0.5556581725185128,-0.45852784221757126
1,0,0,0,0,0,0.0,0.0,pca,-0.21148044196032126,0.2458850704305228
1,0,1,1,1,5,0.6666667,0.0,pca,0.5188490143541329,0.04560838615623408
2,1,1,0,0,6,0.6666667,1.0,pca,0.05256239698913148,-0.3701889357919297
2,0,0,1,0,1,0.33333334,0.0,pca,0.13465775484150222,0.21797537792636948
2,0,0,1,0,1,0.33333334,0.0,pca,0.18078809860766482,0.17691785353191405
3,0,0,1,0,1,0.33333334,0.0,pca,0.1807880622461991,0.1769178438677076
3,0,1,0,1,4,0.33333334,0.0,pca,-0.13616747694851666,0.07188019900503248
3,1,1,0,0,6,0.6666667,1.0,pca,-0.04433748446114211,-0.42478885395821
3,0,0,0,0,0,0.0,0.0,pca,-0.292675407628359,0.2512640903237364
3,0,0,0,0,0,0.0,0.0,pca,-0.30698743953066665,0.26058165812054324
3,0,1,1,1,5,0.6666667,0.0,pca,0.3992545013940388,-0.05021861439955075
3,0,1,0,1,4,0.33333334,0.0,pca,0.03522024338745511,0.07813932339158511
4,1,0,0,0,2,0.33333334,1.0,pca,-0.21241172813328413,-0.27701839112413684
4,0,1,1,1,5,0.6666667,0.0,pca,0.4428847130054116,0.02274902229585124
4,0,0,0,0,0,0.0,0.0,pca,-0.06888179759959143,0.3203385801868396
4,0,1,1,1,5,0.6666667,0.0,pca,0.31897611163595635,0.021350626020201408
4,0,0,0,0,0,0.0,0.0,pca,-0.1991114987111497,0.3233886721929507
4,0,0,0,0,0,0.0,0.0,pca,-0.22701853150623413,0.2642465649272835
4,1,0,1,1,3,0.6666667,0.0,pca,0.23106285478027178,-0.24809409073348013
4,0,1,0,1,4,0.33333334,0.0,pca,-0.1404805412865355,0.08735079341517898
5,1,0,0,0,2,0.33333334,1.0,pca,-0.07032500755230124,-0.23311712668117893
5,1,0,0,0,2,0.33333334,1.0,pca,-0.07667408902492558,-0.20975439005259874
5,0,0,0,0,0,0.0,0.0,pca,-0.05499484759861764,0.25434505857739004
5,0,0,1,0,1,0.33333334,0.0,pca,0.13465781108647945,0.21797541791605446
5,0,0,1,0,1,0.33333334,0.0,pca,0.18078810175836552,0.17691786578370114
5,0,0,1,0,1,0.33333334,0.0,pca,0.09055175910736701,0.21481499130045584
5,0,1,1,1,5,0.6666667,0.0,pca,0.3992544357614605,-0.050218640386037655
5,0,0,1,0,1,0.33333334,0.0,pca,0.2498330888903434,0.2124745045352715
6,1,1,0,0,6,0.6666667,1.0,pca,-0.08333652940089156,-0.39283199985322903
6,1,0,1,1,3,0.6666667,0.0,pca,0.3921970548277269,-0.2598193622160787
6,1,1,1,1,7,1.0,0.0,pca,0.5478186470614672,-0.39719025424851306
6,1,1,1,1,7,1.0,0.0,pca,0.3309013154370808,-0.4214893006842121
6,0,1,1,1,5,0.6666667,0.0,pca,0.42957430426101145,-0.04013472446927954
6,0,0,0,0,0,0.0,0.0,pca,-0.34969190999048094,0.2603788360055419
7,1,0,0,0,2,0.33333334,1.0,pca,-0.07032497822325304,-0.23311717626560166
7,1,0,0,0,2,0.33333334,1.0,pca,-0.0703249584897701,-0.23311718530616068
7,1,0,0,0,2,0.33333334,1.0,pca,-0.028237700156834286,-0.22274662833406053
7,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496355172435,-0.233117180592712
7,0,1,1,1,5,0.6666667,0.0,pca,0.3189760792302841,0.021350552769115932
7,0,1,1,1,5,0.6666667,0.0,pca,0.39925447681199594,-0.050218619560780636
8,0,1,1,1,5,0.6666667,0.0,pca,0.4140453837904932,-0.0598076761792162
8,0,1,1,1,5,0.6666667,0.0,pca,0.3189760257769552,0.021350567149889338
8,0,0,0,0,0,0.0,0.0,pca,-0.22701849783208694,0.2642465662892442
8,0,1,1,1,5,0.6666667,0.0,pca,0.3992544539206188,-0.05021865332509137
8,0,1,1,1,5,0.6666667,0.0,pca,0.3992544726300044,-0.05021859976312812
9,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495992687661,-0.23311718528093436
9,0,0,1,0,1,0.33333334,0.0,pca,0.26505003625033857,0.19711490579276922
9,0,1,0,1,4,0.33333334,0.0,pca,-0.017665410741297155,0.14038831933502174
9,0,0,1,0,1,0.33333334,0.0,pca,0.07261148191234812,0.22399510174853277
9,0,1,1,1,5,0.6666667,0.0,pca,0.39925450144918867,-0.05021860586571905
10,0,1,1,1,5,0.6666667,0.0,pca,0.3992544751937073,-0.05021861468393721
10,1,0,1,1,3,0.6666667,0.0,pca,0.45867788946275373,-0.2788024313671231
10,1,1,1,1,7,1.0,0.0,pca,0.5690933599192176,-0.4575079308806336
10,0,1,1,1,5,0.6666667,0.0,pca,0.39925444937983806,-0.05021858504996787
10,1,0,0,0,2,0.33333334,1.0,pca,-0.21055224008356657,-0.25697220535074905
10,0,0,0,0,0,0.0,0.0,pca,-0.1561625331692987,0.28830520395026354
10,0,0,1,0,1,0.33333334,0.0,pca,0.09055175782598099,0.21481499836102091
10,1,0,0,0,2,0.33333334,1.0,pca,-0.07032499259386467,-0.23311723722599423
10,0,1,1,1,5,0.6666667,0.0,pca,0.3992544344873243,-0.050218659390042136
10,0,1,1,1,5,0.6666667,0.0,pca,0.4497049995350673,-0.05670265907372887
10,0,0,0,0,0,0.0,0.0,pca,-0.30667276314513076,0.24590305224298742
10,0,0,0,0,0,0.0,0.0,pca,-0.34969195320923624,0.2603788063666563
11,0,1,1,1,5,0.6666667,0.0,pca,0.39925449041511646,-0.05021862437347743
11,1,0,0,0,2,0.33333334,1.0,pca,-0.028237757968376076,-0.22274664586248208
11,0,1,1,1,5,0.6666667,0.0,pca,0.39925447720771307,-0.050218618299860435
11,0,0,0,0,0,0.0,0.0,pca,-0.15616246152525237,0.28830522485794063
11,0,1,1,1,5,0.6666667,0.0,pca,0.39925443199043137,-0.05021864857897915
11,0,0,1,0,1,0.33333334,0.0,pca,0.07261152385049119,0.2239950888766904
12,0,1,1,1,5,0.6666667,0.0,pca,0.39925442520333015,-0.05021861089787158
12,0,1,0,1,4,0.33333334,0.0,pca,-0.017665365069853722,0.14038840341107714
12,0,0,1,0,1,0.33333334,0.0,pca,0.19222768686246527,0.22230285368226646
12,0,1,1,1,5,0.6666667,0.0,pca,0.3425156189575989,0.01061594152469994
13,0,0,0,0,0,0.0,0.0,pca,-0.14913563802197594,0.27293338177960585
14,0,1,0,1,4,0.33333334,0.0,pca,-0.0876928592830941,0.012188357882001483
14,0,1,1,1,5,0.6666667,0.0,pca,0.4295743774582869,-0.040134697265243796
14,0,0,0,0,0,0.0,0.0,pca,-0.05249949834539548,0.3029125662467952
14,0,0,1,0,1,0.33333334,0.0,pca,0.09055177575701714,0.21481501920959192
14,1,0,0,0,2,0.33333334,1.0,pca,-0.3459906698550237,-0.2493603131414768
15,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496467858218,-0.23311719723624927
15,0,0,0,0,0,0.0,0.0,pca,-0.05974008023932251,0.3044334193865454
15,0,0,0,0,0,0.0,0.0,pca,-0.14913557939160105,0.2729334011209493
15,1,0,0,0,2,0.33333334,1.0,pca,-0.07667409144641799,-0.20975447625902496
15,0,1,0,1,4,0.33333334,0.0,pca,-0.13099945865564908,0.01922299107253017
15,0,0,1,0,1,0.33333334,0.0,pca,0.09055174785531211,0.2148149643168055
16,0,1,1,1,5,0.6666667,0.0,pca,0.3992544526888911,-0.0502186492881527
16,1,0,0,0,2,0.33333334,1.0,pca,-0.06558224301919693,-0.2859506132218579
16,1,0,0,0,2,0.33333334,1.0,pca,-0.0703250008357281,-0.23311719196538042
16,0,1,1,1,5,0.6666667,0.0,pca,0.399254476995809,-0.050218627550914025
16,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
16,0,1,1,1,5,0.6666667,0.0,pca,0.3992544646719319,-0.05021864984344768
17,1,0,0,0,2,0.33333334,1.0,pca,-0.06558222459136602,-0.2859506453682127
17,0,1,1,1,5,0.6666667,0.0,pca,0.6051926449312559,-0.07740070737872676
17,1,1,1,1,7,1.0,0.0,pca,0.30414577006958937,-0.4516497039663937
17,1,0,0,0,2,0.33333334,1.0,pca,-0.21055220596154917,-0.2569721603887646
17,0,1,1,1,5,0.6666667,0.0,pca,0.31897608304803093,0.021350563410434148
17,0,1,0,1,4,0.33333334,0.0,pca,-0.08769285244480435,0.012188415678678177
17,0,0,0,0,0,0.0,0.0,pca,-0.21148037901928973,0.24588511519896553
17,0,0,1,0,1,0.33333334,0.0,pca,0.18078810186276612,0.17691784968213126
17,0,1,1,1,5,0.6666667,0.0,pca,0.3992544055752106,-0.05021866363526953
18,0,0,1,0,1,0.33333334,0.0,pca,0.07261145160829438,0.22399511631766492
18,0,1,1,1,5,0.6666667,0.0,pca,0.3992544374510822,-0.05021864091619763
18,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
18,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496245522918,-0.233117188710895
18,1,0,0,0,2,0.33333334,1.0,pca,-0.35039335365573354,-0.20300790338962768
18,0,1,1,1,5,0.6666667,0.0,pca,0.44970498753838467,-0.05670265253194315
18,0,0,0,0,0,0.0,0.0,pca,-0.20952670067852744,0.3179264417387664
19,0,1,1,1,5,0.6666667,0.0,pca,0.3992544764985218,-0.050218622987563216
19,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
19,0,1,1,1,5,0.6666667,0.0,pca,0.42957434531803845,-0.04013473125455183
19,1,0,0,0,2,0.33333334,1.0,pca,-0.0901269842928261,-0.20368627092879402
19,1,0,0,0,2,0.33333334,1.0,pca,-0.07667407289601831,-0.20975443757263337
20,0,1,1,1,5,0.6666667,0.0,pca,0.44288472248605887,0.022749104653354918
20,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496360935864,-0.2331171846739423
20,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496308655095,-0.23311718492467934
21,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496377734823,-0.2331171999550463
21,0,0,1,0,1,0.33333334,0.0,pca,0.26505003625033857,0.19711490579276922
21,0,1,1,1,5,0.6666667,0.0,pca,0.3992545162795342,-0.05021862039030392
21,0,1,1,1,5,0.6666667,0.0,pca,0.3992545162795342,-0.05021862039030392
22,1,0,0,0,2,0.33333334,1.0,pca,-0.0389987092553441,-0.19493795668626243
22,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
22,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
22,0,1,1,1,5,0.6666667,0.0,pca,0.4295743347728585,-0.04013473206941656
22,0,0,1,0,1,0.33333334,0.0,pca,0.1807880637680474,0.1769178480443994
22,0,0,0,0,0,0.0,0.0,pca,-0.18312222726157937,0.2536327356329453
22,1,0,0,0,2,0.33333334,1.0,pca,-0.23391569720045918,-0.13182319446193505
22,0,0,1,0,1,0.33333334,0.0,pca,0.2650500825060319,0.1971149538090224
22,0,0,1,0,1,0.33333334,0.0,pca,0.24983311306442635,0.21247453614956377
23,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
23,0,1,1,1,5,0.6666667,0.0,pca,0.31897610470388577,0.021350587267574855
23,0,0,0,0,0,0.0,0.0,pca,-0.1491355176480395,0.27293337721168703
23,0,1,1,1,5,0.6666667,0.0,pca,0.42957431874250823,-0.04013471525735526
23,0,1,0,1,4,0.33333334,0.0,pca,-0.13099949053060927,0.01922293790983917
23,1,0,0,0,2,0.33333334,1.0,pca,-0.09012694274996877,-0.2036863265119965
24,1,0,0,0,2,0.33333334,1.0,pca,-0.07032493461875679,-0.23311718006406953
24,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
24,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
24,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
24,0,0,1,0,1,0.33333334,0.0,pca,0.19222768686246527,0.22230285368226646
24,0,1,1,1,5,0.6666667,0.0,pca,0.39925444203252053,-0.05021867834547453
24,0,0,0,0,0,0.0,0.0,pca,-0.18522181024788664,0.2689342361361969
25,1,0,0,0,2,0.33333334,1.0,pca,-0.07032505398141134,-0.23311720714751058
25,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
25,1,0,0,0,2,0.33333334,1.0,pca,-0.3539016581688378,-0.22178083497465587
25,1,0,0,0,2,0.33333334,1.0,pca,-0.23058851488657484,-0.1535974858872111
25,0,0,1,0,1,0.33333334,0.0,pca,0.09055172125311264,0.21481491717969353
25,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496120943019,-0.23311719550895518
26,1,0,0,0,2,0.33333334,1.0,pca,-0.09012693032075624,-0.20368625346656863
26,0,1,1,1,5,0.6666667,0.0,pca,0.399254464176719,-0.05021863928329898
26,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
26,0,1,0,1,4,0.33333334,0.0,pca,-0.19731358398820703,0.08835665550827843
26,0,1,1,1,5,0.6666667,0.0,pca,0.3992544531977979,-0.050218634227397224
26,0,0,1,0,1,0.33333334,0.0,pca,0.11745534248892125,0.2267952984601352
27,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
27,0,1,1,1,5,0.6666667,0.0,pca,0.39925449119086126,-0.050218633262100715
27,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496357941681,-0.23311719683668772
27,0,1,1,1,5,0.6666667,0.0,pca,0.4295743868915917,-0.0401347320199851
27,1,0,0,0,2,0.33333334,1.0,pca,-0.07667409144641799,-0.20975447625902496
28,0,0,0,0,0,0.0,0.0,pca,-0.2095266414439332,0.3179264318395716
28,0,0,1,0,1,0.33333334,0.0,pca,0.13768063853685647,0.17306301096614435
28,1,0,0,0,2,0.33333334,1.0,pca,-0.07667405273797391,-0.2097544352499722
28,0,0,0,0,0,0.0,0.0,pca,-0.2971529481985363,0.2155652336586723
28,0,0,0,0,0,0.0,0.0,pca,-0.14913559571436372,0.27293331473236193
28,0,0,1,0,1,0.33333334,0.0,pca,0.26505005331086046,0.1971149577744386
28,1,0,0,0,2,0.33333334,1.0,pca,-0.1722973402359514,-0.17794421960832
28,0,1,1,1,5,0.6666667,0.0,pca,0.39925448849000017,-0.05021862538667707
28,0,1,1,1,5,0.6666667,0.0,pca,0.39925448647298606,-0.05021862214947401
28,1,0,0,0,2,0.33333334,1.0,pca,-0.07032499147214677,-0.23311723769138556
28,0,1,1,1,5,0.6666667,0.0,pca,0.39925443341558503,-0.050218663676448255
29,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
29,1,0,0,0,2,0.33333334,1.0,pca,-0.07667404296929319,-0.2097544655211848
29,0,1,0,1,4,0.33333334,0.0,pca,-0.08769284468037469,0.01218837562898481
29,0,1,0,1,4,0.33333334,0.0,pca,-0.1973135569322994,0.08835666184019722
29,1,0,0,0,2,0.33333334,1.0,pca,-0.34599062118366486,-0.24936029144592645
0,0,1,0,1,4,0.33333334,0.0,pca,-0.15871862998705621,0.09601795977406927
0,0,0,0,0,0,0.0,0.0,pca,-0.052499530830783986,0.3029125275556954
0,1,0,0,0,2,0.33333334,1.0,pca,-0.33455372705969766,-0.24212756337382899
0,1,1,0,0,6,0.6666667,1.0,pca,-0.11446627141647879,-0.35086537942245144
0,1,0,0,0,2,0.33333334,1.0,pca,-0.1758267899448382,-0.2652580163009791
0,0,0,1,0,1,0.33333334,0.0,pca,0.42010072506517376,0.17304850691410922
0,0,1,0,1,4,0.33333334,0.0,pca,0.047210697266513835,0.07009832145778863
1,0,0,0,0,0,0.0,0.0,pca,-0.06888183076508053,0.3203385820701243
1,1,1,0,0,6,0.6666667,1.0,pca,-0.089627513910119,-0.37045337325735817
1,0,1,1,1,5,0.6666667,0.0,pca,0.34251560409924386,0.010615973354094449
1,1,0,0,0,2,0.33333334,1.0,pca,-0.07032491710368569,-0.23311717302009013
1,1,1,0,0,6,0.6666667,1.0,pca,0.005177414137150921,-0.3558066511027348
1,0,1,1,1,5,0.6666667,0.0,pca,0.36964421435000244,0.014075709049302138
1,1,0,0,0,2,0.33333334,1.0,pca,-0.2267496890884499,-0.24661858769973719
2,0,1,0,1,4,0.33333334,0.0,pca,-0.19731359109160077,0.08835668602578481
2,0,0,0,0,0,0.0,0.0,pca,-0.21544396022890455,0.3329376828302625
2,0,1,0,1,4,0.33333334,0.0,pca,-0.19731363881906278,0.08835667862160906
2,1,0,0,0,2,0.33333334,1.0,pca,-0.09012703565742712,-0.20368625264787252
2,0,1,1,1,5,0.6666667,0.0,pca,0.35054264934893237,0.030133129101291567
2,1,0,0,0,2,0.33333334,1.0,pca,-0.2521235257189067,-0.2867647264016445
3,0,0,0,0,0,0.0,0.0,pca,-0.3496919211755285,0.2603788199574893
3,0,0,1,0,1,0.33333334,0.0,pca,0.11745533608924807,0.22679528282613778
3,0,0,1,0,1,0.33333334,0.0,pca,0.07261143265435857,0.2239950913316227
3,0,1,0,1,4,0.33333334,0.0,pca,-0.13099945949921327,0.0192229119809057
3,0,0,1,0,1,0.33333334,0.0,pca,0.1807881449937298,0.17691783150949597
3,0,0,0,0,0,0.0,0.0,pca,-0.2095267250132468,0.3179264289668764
4,0,0,0,0,0,0.0,0.0,pca,-0.0688817901747372,0.32033856171547587
4,0,1,1,1,5,0.6666667,0.0,pca,0.3992544830395974,-0.05021862238916666
4,0,1,1,1,5,0.6666667,0.0,pca,0.342515649502087,0.010615937773330197
4,1,0,0,0,2,0.33333334,1.0,pca,-0.09012689334994345,-0.20368628851581436
5,0,0,0,0,0,0.0,0.0,pca,-0.05249946754269312,0.30291258767026147
5,1,0,0,0,2,0.33333334,1.0,pca,-0.3345536994762085,-0.2421275518135975
5,1,0,0,0,2,0.33333334,1.0,pca,-0.07032494419039087,-0.23311714003184433
5,0,0,0,0,0,0.0,0.0,pca,-0.0688818731326142,0.32033853135139034
5,0,1,1,1,5,0.6666667,0.0,pca,0.3992544470772827,-0.05021864870828038
5,0,0,1,0,1,0.33333334,0.0,pca,0.20926735952562492,0.2050372391225764
5,1,0,0,0,2,0.33333334,1.0,pca,-0.25212358093839876,-0.2867648039061972
5,0,1,0,1,4,0.33333334,0.0,pca,0.03522024624573078,0.07813931010112415
6,1,0,0,0,2,0.33333334,1.0,pca,-0.1766219931911063,-0.15590965685171496
6,0,0,0,0,0,0.0,0.0,pca,-0.05249945475251658,0.3029125543645828
6,0,1,1,1,5,0.6666667,0.0,pca,0.3189761154440966,0.021350572948691332
6,0,0,0,0,0,0.0,0.0,pca,-0.04300283810615589,0.2867423403695659
6,0,1,1,1,5,0.6666667,0.0,pca,0.3807251150557845,0.07975216872842891
6,0,1,1,1,5,0.6666667,0.0,pca,0.39925449356619097,-0.05021859988312752
6,1,0,0,0,2,0.33333334,1.0,pca,-0.09617954412737761,-0.1805975953444031
7,1,0,0,0,2,0.33333334,1.0,pca,-0.334553727981326,-0.24212751242316863
7,0,0,1,0,1,0.33333334,0.0,pca,0.18078808294485493,0.17691787297131406
7,0,1,0,1,4,0.33333334,0.0,pca,-0.19731361398554273,0.08835666797496616
7,1,0,0,0,2,0.33333334,1.0,pca,-0.06960720260917792,-0.2512019561204516
7,1,0,0,0,2,0.33333334,1.0,pca,-0.07032496938991886,-0.23311721211254868
7,0,1,1,1,5,0.6666667,0.0,pca,0.3992544213708002,-0.050218669898761475
7,0,1,1,1,5,0.6666667,0.0,pca,0.3731935515051022,0.019915132787944267
8,0,0,0,0,0,0.0,0.0,pca,-0.2920070468527859,0.2364285142823768
8,0,0,1,0,1,0.33333334,0.0,pca,0.1174553106708005,0.22679526628936195
8,0,1,1,1,5,0.6666667,0.0,pca,0.42957434620714635,-0.04013471809398181
8,0,1,1,1,5,0.6666667,0.0,pca,0.3992544910861355,-0.05021862918743411
8,1,0,0,0,2,0.33333334,1.0,pca,-0.17662201494911206,-0.15590962836513708
8,0,1,0,1,4,0.33333334,0.0,pca,-0.09252024219417931,0.027619515404981393
8,0,0,0,0,0,0.0,0.0,pca,-0.25396297937952694,0.20144314184251272
9,0,0,0,0,0,0.0,0.0,pca,-0.0688818170254851,0.3203385564870894
9,1,0,0,0,2,0.33333334,1.0,pca,-0.23004489820228308,-0.24836914058532958
9,0,1,1,1,5,0.6666667,0.0,pca,0.3992544590763187,-0.050218624633833614
9,1,0,0,0,2,0.33333334,1.0,pca,-0.07032504147994473,-0.23311725968436844
9,0,1,1,1,5,0.6666667,0.0,pca,0.3425156394967447,0.01061591129861958
10,1,0,0,0,2,0.33333334,1.0,pca,-0.23004491341089434,-0.24836912977963418
10,0,0,1,0,1,0.33333334,0.0,pca,0.18078810040101695,0.1769178698774464
10,1,0,0,0,2,0.33333334,1.0,pca,-0.2085143364837996,-0.17532370892100782
10,1,0,0,0,2,0.33333334,1.0,pca,-0.07032497278049368,-0.23311718630658082
10,1,0,0,0,2,0.33333334,1.0,pca,-0.0703249650478085,-0.23311718489767838
10,1,0,0,0,2,0.33333334,1.0,pca,-0.25212352258262627,-0.2867647674180863
10,0,0,1,0,1,0.33333334,0.0,pca,0.2092673334472822,0.20503722984429276
10,1,0,0,0,2,0.33333334,1.0,pca,-0.17229732297193115,-0.17794423413838326
11,1,0,0,0,2,0.33333334,1.0,pca,-0.07032498893686359,-0.23311723443541157
12,1,0,0,0,2,0.33333334,1.0,pca,-0.3539015989380535,-0.2217808000121184
12,0,0,0,0,0,0.0,0.0,pca,-0.06888184322657512,0.3203385945949575
12,0,1,1,1,5,0.6666667,0.0,pca,0.44970500752808834,-0.056702672208476884
12,1,0,0,0,2,0.33333334,1.0,pca,-0.2521234805622516,-0.2867648318317041
13,0,1,1,1,5,0.6666667,0.0,pca,0.3731935451781215,0.01991516735765378
13,1,0,0,0,2,0.33333334,1.0,pca,-0.2300449064678814,-0.2483691682259632
13,1,0,0,0,2,0.33333334,1.0,pca,-0.3313006302778439,-0.22317536959695147
13,1,0,0,0,2,0.33333334,1.0,pca,-0.0703249475473254,-0.23311719254018817
14,0,0,0,0,0,0.0,0.0,pca,-0.06888181216238787,0.3203385662103314
14,0,0,1,0,1,0.33333334,0.0,pca,0.1807881419563278,0.1769178617742554
14,0,1,1,1,5,0.6666667,0.0,pca,0.3992544872185027,-0.05021862867752544
14,0,1,1,1,5,0.6666667,0.0,pca,0.3992544334908303,-0.05021860699167782
14,1,0,0,0,2,0.33333334,1.0,pca,-0.07667409022072921,-0.20975442241696338
14,0,1,0,1,4,0.33333334,0.0,pca,0.03522023467649757,0.07813932826509232
15,1,0,0,0,2,0.33333334,1.0,pca,-0.07032499707995879,-0.2331172212159119
15,0,1,1,1,5,0.6666667,0.0,pca,0.37319348817093984,0.019915197004365864
15,1,0,0,0,2,0.33333334,1.0,pca,-0.3345537347958737,-0.24212759221402516
15,0,1,0,1,4,0.33333334,0.0,pca,-0.1973135901085049,0.08835669365107537
15,0,1,0,1,4,0.33333334,0.0,pca,-0.15871861923759686,0.09601797121209282
15,0,0,1,0,1,0.33333334,0.0,pca,0.07261143265435857,0.2239950913316227
15,0,1,1,1,5,0.6666667,0.0,pca,0.3992544764985218,-0.050218622987563216
15,0,0,0,0,0,0.0,0.0,pca,-0.25396305548156667,0.20144310270635457
16,1,0,0,0,2,0.33333334,1.0,pca,-0.2521235505355002,-0.28676479025617785
16,0,0,0,0,0,0.0,0.0,pca,-0.3496919474377797,0.2603788475120811
16,0,1,1,1,5,0.6666667,0.0,pca,0.35054266645667664,0.030133116396693638
16,1,0,0,0,2,0.33333334,1.0,pca,-0.07032495781928497,-0.23311720004291878
16,0,1,1,1,5,0.6666667,0.0,pca,0.4497049602085322,-0.05670265056091203
16,1,0,0,0,2,0.33333334,1.0,pca,-0.25212356154905863,-0.2867648197289119
16,0,1,0,1,4,0.33333334,0.0,pca,0.03522022187257179,0.07813932539040208
17,0,1,1,1,5,0.6666667,0.0,pca,0.4497049899471362,-0.056702693970790946
17,0,1,0,1,4,0.33333334,0.0,pca,0.03522028092999316,0.07813929487814383
17,1,0,0,0,2,0.33333334,1.0,pca,-0.3313006549223636,-0.22317538362577058
