time,Q_mean,Q_std
0,0.06347093,34.14658
1,0.07775515,34.22159
2,0.08793855,34.30323
3,0.06556994,34.345203
4,0.0018884242,34.364693
5,0.012920052,34.385696
6,0.0029010028,34.396328
7,-0.0074448884,34.419727
8,-0.0018477142,34.40083
9,-0.004189208,34.411724
10,-0.011609867,34.401024
11,0.00055135787,34.400627
12,0.0019386262,34.38726
13,0.0029758066,34.386005
14,0.0001733154,34.393993
15,-0.005744338,34.404076
16,-0.018587083,34.411156
17,-0.01797761,34.421997
18,-0.013394192,34.428493
19,-0.016989112,34.429516
20,-0.0008583963,34.423435
21,0.00029332936,34.41839
22,-0.005081132,34.417885
23,-0.0016365051,34.41429
24,-0.0016369224,34.414295
25,-0.0016373098,34.41429
26,-0.0016362965,34.41429
27,-0.0017492324,34.4146
28,-0.0015824884,34.41414
29,-0.0045200586,34.422215
30,-0.003017366,34.418087
31,-0.003018409,34.41809
32,-0.0030177534,34.418087
33,-0.0030181408,34.41809
34,-0.003020078,34.418087
35,-0.0030185878,34.418087
36,-0.0030180216,34.418087
37,-0.0030194074,34.41809
38,-0.0030177385,34.418087
39,-0.0030177683,34.418087
40,-0.0030189753,34.418087
41,-0.0030179024,34.418087
42,-0.0030184388,34.418087
43,-0.003019005,34.41809
44,-0.0030176342,34.418087
45,-0.0030179024,34.41809
46,-0.0030190498,34.418087
47,-0.0030187517,34.418087
48,-0.0030178577,34.418087
49,-0.0030188859,34.41809
50,-0.0030176938,34.418087
51,-0.0030180514,34.41809
52,-0.003019601,34.418087
53,-0.003018126,34.418087
54,-0.003017515,34.41809
55,-0.0030178726,34.41809
56,-0.0030178577,34.418087
57,-0.0030178577,34.41809
58,-0.0030190349,34.418087
59,-0.0030183196,34.418087
60,-0.0030184388,34.41809
61,-0.003018722,34.418087
62,-0.0030172318,34.418087
63,-0.0030186027,34.41809
64,-0.0030184835,34.418087
65,-0.003018096,34.418087
66,-0.0030180514,34.418087
67,-0.0030187368,34.41809
68,-0.0030172765,34.41809
69,-0.0030185133,34.41809
70,-0.0030187964,34.418087
71,-0.0030183792,34.418087
72,-0.0030185282,34.418087
73,-0.0030192435,34.41809
74,-0.0030169934,34.418087
75,-0.0030184835,34.41809
76,-0.003019005,34.418087
77,-0.0030179173,34.418087
78,-0.0030176789,34.418087
79,-0.0030181557,34.41809
80,-0.0030177832,34.418087
81,-0.003018275,34.41809
82,-0.0030187368,34.418087
83,-0.0030180812,34.418087
84,-0.0030183196,34.418087
85,-0.0030191839,34.418087
86,-0.0030177832,34.418087
87,-0.0030182004,34.418087
88,-0.0030183643,34.418087
89,-0.003018111,34.418087
90,-0.003018558,34.418087
91,-0.003018275,34.41809
92,-0.0030174404,34.418087
93,-0.0030180812,34.41809
94,-0.0030186176,34.418087
95,-0.003018424,34.418087
