time,Q_mean,Q_std
0,-16.12621,21.533255
1,-11.043842,22.532204
2,-7.238782,23.160194
3,-5.1162667,23.677666
4,-3.7679627,24.090256
5,-2.793301,24.479614
6,-2.0923965,24.908493
7,-1.4547943,25.205305
8,-0.9331874,25.38449
9,-0.6382374,25.527834
10,-0.34733516,25.704971
11,-0.12626773,25.815287
12,0.01641196,25.91533
13,0.10296436,25.997648
14,0.19760947,26.060894
15,0.2633112,26.097126
16,0.36266476,26.201992
17,0.41150796,26.23339
18,0.45705783,26.26963
19,0.50082254,26.313847
20,0.5447674,26.325089
21,0.566057,26.335339
22,0.6074678,26.342024
23,0.6198418,26.354921
24,0.6198427,26.354923
25,0.6198426,26.354923
26,0.6198423,26.354921
27,0.6199862,26.35532
28,0.6212604,26.358852
29,0.63016737,26.383615
30,0.6560265,26.456467
31,0.656027,26.456467
32,0.6560265,26.456467
33,0.65602654,26.456467
34,0.65602726,26.456467
35,0.65602636,26.456467
36,0.6560268,26.456467
37,0.6560265,26.456467
38,0.65602624,26.456467
39,0.6560267,26.456467
40,0.65602636,26.456467
41,0.6560262,26.456467
42,0.6560263,26.456467
43,0.65602654,26.456467
44,0.65602624,26.456467
45,0.656026,26.456467
46,0.65602714,26.456467
47,0.6560262,26.456467
48,0.6560266,26.456467
49,0.65602666,26.456467
50,0.6560264,26.456467
51,0.6560265,26.456467
52,0.65602636,26.456469
53,0.6560265,26.456467
54,0.6560264,26.456469
55,0.65602684,26.456467
56,0.6560261,26.456469
57,0.6560261,26.456465
58,0.6560269,26.456469
59,0.6560261,26.456467
60,0.6560266,26.456469
61,0.65602636,26.456467
62,0.65602684,26.456467
63,0.656026,26.456467
64,0.6560264,26.456467
65,0.6560261,26.456467
66,0.65602654,26.456469
67,0.6560264,26.456469
68,0.6560266,26.456467
69,0.6560266,26.456467
70,0.6560271,26.456467
71,0.6560265,26.456467
72,0.65602654,26.456469
73,0.6560259,26.456469
74,0.6560261,26.456467
75,0.65602624,26.456467
76,0.65602654,26.456469
77,0.6560265,26.456467
78,0.6560269,26.456467
79,0.6560265,26.456469
80,0.65602624,26.456467
81,0.65602595,26.456465
82,0.65602726,26.456467
83,0.65602624,26.456467
84,0.65602684,26.456467
85,0.6560266,26.456467
86,0.65602654,26.456467
87,0.65602624,26.456467
88,0.65602624,26.456469
89,0.6560264,26.456467
90,0.6560267,26.456467
91,0.6560263,26.456467
92,0.6560265,26.456467
93,0.65602666,26.456465
94,0.65602696,26.456469
95,0.6560265,26.456467
