time,component,mean_value
0,0,0.23604915
1,0,0.14833285
2,0,0.13284452
3,0,0.11389985
4,0,0.10920752
5,0,0.099304795
6,0,0.09374046
7,0,0.103569716
8,0,0.104516454
9,0,0.10581935
10,0,0.09696762
11,0,0.08158828
12,0,0.061267383
13,0,0.039087735
14,0,0.015259026
15,0,-0.007828993
16,0,-0.026282309
17,0,-0.03601376
18,0,-0.038418278
19,0,-0.037878513
20,0,-0.02766542
21,0,-0.021205183
22,0,-0.019716784
23,0,-0.028644092
24,0,-0.051460437
25,0,-0.07972908
26,0,-0.11559122
27,0,-0.14538158
28,0,-0.16316059
29,0,-0.16964921
30,0,-0.16243473
31,0,-0.1479614
32,0,-0.13061772
33,0,-0.113182016
34,0,-0.090933114
35,0,-0.06535076
36,0,-0.042960614
37,0,-0.024173127
38,0,-0.0029665413
39,0,0.014940291
40,0,0.03312938
41,0,0.04963929
42,0,0.064741805
43,0,0.06998073
44,0,0.06600632
45,0,0.05833637
46,0,0.042106234
47,0,0.03543683
48,0,0.032361045
49,0,0.04001165
50,0,0.048999175
51,0,0.0646718
52,0,0.07941064
53,0,0.09651055
54,0,0.1053868
55,0,0.10890883
56,0,0.10069415
57,0,0.0798065
58,0,0.05597297
59,0,0.028174588
60,0,0.0069161174
61,0,-0.017241992
62,0,-0.035765093
63,0,-0.051162872
64,0,-0.06790806
65,0,-0.07815793
66,0,-0.08787198
67,0,-0.093432605
68,0,-0.09575
69,0,-0.08980988
70,0,-0.07939829
71,0,-0.06226953
72,0,-0.038549747
73,0,-0.013619738
74,0,-0.00044071767
75,0,0.0064743394
76,0,0.004121132
77,0,-0.0066273236
78,0,-0.025447942
79,0,-0.046083286
80,0,-0.06451256
81,0,-0.081639655
82,0,-0.0892162
83,0,-0.09167079
84,0,-0.08000267
85,0,-0.05777176
86,0,-0.032194637
87,0,-0.0053161164
88,0,0.014071759
89,0,0.030127363
90,0,0.0408854
91,0,0.04481862
92,0,0.046933614
93,0,0.045576196
94,0,0.045579147
95,0,0.038887594
0,1,-0.15922867
1,1,-0.06802042
2,1,-0.043995153
3,1,-0.042119496
4,1,-0.04117667
5,1,-0.03861718
6,1,-0.038178105
7,1,-0.03326015
8,1,-0.031023448
9,1,-0.035853803
10,1,-0.033962294
11,1,-0.03181164
12,1,-0.025785573
13,1,-0.02038394
14,1,-0.019012032
15,1,-0.026291126
16,1,-0.0292066
17,1,-0.030459508
18,1,-0.0322595
19,1,-0.03721256
20,1,-0.04098498
21,1,-0.048293192
22,1,-0.056295104
23,1,-0.06759511
24,1,-0.07710908
25,1,-0.08647702
26,1,-0.09332092
27,1,-0.09764474
28,1,-0.096791595
29,1,-0.09016581
30,1,-0.07856202
31,1,-0.06693632
32,1,-0.053948864
33,1,-0.038653933
34,1,-0.0240536
35,1,-0.013272088
36,1,-0.0074712643
37,1,-0.00198961
38,1,0.0028204094
39,1,0.0072303666
40,1,0.005777171
41,1,0.0004211422
42,1,-0.007223727
43,1,-0.014568334
44,1,-0.022875112
45,1,-0.03604184
46,1,-0.048883166
47,1,-0.06355357
48,1,-0.0713588
49,1,-0.070238404
50,1,-0.061758608
51,1,-0.048222277
52,1,-0.031088375
53,1,-0.016898215
54,1,-0.0016223546
55,1,0.0064750714
56,1,0.011356082
57,1,0.011860897
58,1,0.008073394
59,1,0.008623879
60,1,0.011558097
61,1,0.020836433
62,1,0.029400978
63,1,0.036585893
64,1,0.04252632
65,1,0.04991334
66,1,0.05648287
67,1,0.064757854
68,1,0.07316504
69,1,0.07986283
70,1,0.085809655
71,1,0.09532719
72,1,0.10946423
73,1,0.12600294
74,1,0.13938718
75,1,0.14692046
76,1,0.143133
77,1,0.1356066
78,1,0.12345822
79,1,0.105855934
80,1,0.080217
81,1,0.05339061
82,1,0.028865352
83,1,0.011914298
84,1,0.0026792055
85,1,0.0025214963
86,1,0.0025786292
87,1,0.0027113818
88,1,0.008341797
89,1,0.019252038
90,1,0.0370162
91,1,0.053476095
92,1,0.06722348
93,1,0.07640414
94,1,0.08258172
95,1,0.08391227
