time,component,mean_value
0,0,0.072336085
1,0,0.06940704
2,0,0.06364958
3,0,0.061421182
4,0,0.06340511
5,0,0.06913343
6,0,0.05890705
7,0,0.052221227
8,0,0.048861116
9,0,0.043981243
10,0,0.04069239
11,0,0.029362768
12,0,0.027979229
13,0,0.027906675
14,0,0.0038900487
15,0,-0.0160353
16,0,-0.03706216
17,0,-0.058297496
18,0,-0.06689106
19,0,-0.07145583
20,0,-0.06821353
21,0,-0.081869625
22,0,-0.08596961
23,0,-0.097200334
24,0,-0.08485861
25,0,-0.08934594
26,0,-0.09584068
27,0,-0.10173218
28,0,-0.09803945
29,0,-0.101686366
30,0,-0.08999402
31,0,-0.08251471
32,0,-0.06822473
33,0,-0.06599592
34,0,-0.050428562
35,0,-0.047379296
36,0,-0.05261086
37,0,-0.059536513
38,0,-0.059138212
39,0,-0.043288402
40,0,-0.013681065
41,0,-0.0014711954
42,0,0.002404889
43,0,0.006463034
44,0,0.0066620815
45,0,0.006348684
46,0,-0.0098045925
47,0,-0.017696686
48,0,-0.015660152
49,0,-0.02103271
50,0,-0.029794022
51,0,-0.0391313
52,0,-0.049034487
53,0,-0.06067255
54,0,-0.054890335
55,0,-0.049045663
56,0,-0.042280618
57,0,-0.050591756
58,0,-0.056375325
59,0,-0.05724174
60,0,-0.03556616
61,0,-0.0081235
62,0,0.021599548
63,0,0.056101162
64,0,0.08835975
65,0,0.12409278
66,0,0.14920157
67,0,0.15105881
68,0,0.15481293
69,0,0.14339755
70,0,0.12741512
71,0,0.12046568
72,0,0.10964658
73,0,0.113162376
74,0,0.10398475
75,0,0.097594805
76,0,0.0848459
77,0,0.07260169
78,0,0.0605544
79,0,0.043125562
80,0,0.037227847
81,0,0.028688863
82,0,0.031672284
83,0,0.0021601552
84,0,-0.014978455
85,0,-0.039525505
86,0,-0.035231918
87,0,-0.033568997
88,0,-0.039935134
89,0,-0.036239527
90,0,-0.025229968
91,0,-0.010430256
92,0,-0.016358387
93,0,-0.010936392
94,0,-0.012763821
95,0,-0.015856382
0,1,0.06545305
1,1,0.09264035
2,1,0.12070414
3,1,0.13302563
4,1,0.12989031
5,1,0.13818146
6,1,0.14464164
7,1,0.14960904
8,1,0.14800785
9,1,0.15347506
10,1,0.15361302
11,1,0.14857197
12,1,0.1348267
13,1,0.12363455
14,1,0.1176114
15,1,0.09449975
16,1,0.08493674
17,1,0.07226783
18,1,0.059478357
19,1,0.039457493
20,1,0.0136850905
21,1,-0.017650886
22,1,-0.04536605
23,1,-0.06699182
24,1,-0.08696541
25,1,-0.09466783
26,1,-0.10129215
27,1,-0.10007639
28,1,-0.09517113
29,1,-0.09419328
30,1,-0.09203638
31,1,-0.08203304
32,1,-0.08130287
33,1,-0.08139025
34,1,-0.072402164
35,1,-0.05903147
36,1,-0.051018696
37,1,-0.04752884
38,1,-0.03874582
39,1,-0.022715066
40,1,-0.022849848
41,1,-0.0050084265
42,1,0.012111746
43,1,0.032114055
44,1,0.057861876
45,1,0.06998581
46,1,0.07663251
47,1,0.0891988
48,1,0.100347914
49,1,0.09484897
50,1,0.10208177
51,1,0.09623307
52,1,0.07716863
53,1,0.06735717
54,1,0.053218286
55,1,0.037020702
56,1,0.009991131
57,1,-0.0055147195
58,1,-0.033470646
59,1,-0.06697826
60,1,-0.08550532
61,1,-0.10229741
62,1,-0.11914918
63,1,-0.14165524
64,1,-0.1562186
65,1,-0.17743164
66,1,-0.19664507
67,1,-0.19699419
68,1,-0.1943017
69,1,-0.19525355
70,1,-0.18901728
71,1,-0.17512044
72,1,-0.1447793
73,1,-0.11671938
74,1,-0.10111861
75,1,-0.08429791
76,1,-0.061185006
77,1,-0.047275268
78,1,-0.027972016
79,1,-0.018536761
80,1,-0.002113442
81,1,0.024566717
82,1,0.04306199
83,1,0.0579325
84,1,0.06776063
85,1,0.08292903
86,1,0.07873089
87,1,0.069302544
88,1,0.068063125
89,1,0.06065707
90,1,0.056657262
91,1,0.03639837
92,1,0.033197656
93,1,0.02200841
94,1,0.008309094
95,1,-0.005916072
