cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
gmm,2,3,8,2.7837507387318956,0.9279169129106318,0.9997301603618421,0.23792146381578946,0.9997944078947368,0.0016715487008901657,0.0005571829002967219,8.352179276316374e-05,671,2.779329181683152,0.9264430605610506,False
gmm,0,3,4,1.8969257472657928,0.9484628736328964,0.9996980365953947,0.34845291940789475,0.9996321828741777,0.0019882294439211427,0.0009941147219605713,1.9274259868473642e-05,418,1.8969424697129145,0.9484712348564572,False
gmm,1,3,4,1.8915478580149663,0.9457739290074831,0.9996851870888158,0.3484978926809211,0.9996707313939145,0.0028917091099810756,0.0014458545549905378,0.0,259,1.891457633921838,0.945728816960919,False
kmeans,0,1,2,0.931784154927011,0.931784154927011,0.9996530633223685,0.6512451171875,0.9995872096011513,0.004181286262660909,0.004181286262660909,0.0,8,0.9319924485532932,0.9319924485532932,True
gmm,1,2,4,1.8915478580149663,0.9457739290074831,0.9996273643092105,0.3475470291940789,0.9996386076274671,0.0032270579666099837,0.0016135289833049918,0.0,68,1.891457633921838,0.945728816960919,False
kmeans,0,2,2,0.931784154927011,0.931784154927011,0.9996273643092105,0.6525493421052632,0.9995936343544408,0.002541433396389679,0.002541433396389679,0.0,32,0.9319924485532932,0.9319924485532932,False
gmm,0,1,2,0.9317587185083369,0.9317587185083369,0.9996273643092105,0.6512451171875,0.9995582982113487,0.00440683962315009,0.00440683962315009,0.0,8,0.9319924485532932,0.9319924485532932,False
gmm,2,2,8,2.7837507387318956,0.9279169129106318,0.9996080900493421,0.23946982935855263,0.9996096962376645,0.0028832208312239292,0.0009610736104079764,2.5699013157853834e-05,184,2.779329181683152,0.9264430605610506,False
kmeans,0,3,2,0.931784154927011,0.931784154927011,0.9995823910361842,0.6515470805921053,0.9996048776726973,0.0018550805414299927,0.0018550805414299927,0.0,127,0.9319924485532932,0.9319924485532932,False
gmm,0,2,2,0.9317587185083369,0.9317587185083369,0.9995823910361842,0.6525493421052632,0.9995695415296053,0.0027578382635237222,0.0027578382635237222,0.0,32,0.9319924485532932,0.9319924485532932,False
gmm,0,3,2,0.9317587185083369,0.9317587185083369,0.9995631167763158,0.6515470805921053,0.9995743600945723,0.002103505830192201,0.002103505830192201,0.0,127,0.9319924485532932,0.9319924485532932,False
kmeans,1,3,16,3.715234296045773,0.9288085740114432,0.9995374177631579,0.17720754523026316,0.999799226459704,0.0015618960004998717,0.00039047400012496794,0.0004240337171053099,1457,3.711265910959864,0.927816477739966,False
kmeans,1,3,8,2.8831771555957113,0.9610590518652371,0.999498869243421,0.23758095189144737,0.9996321828741777,0.002115707732434418,0.0007052359108114726,0.00022486636513152636,880,2.8810609831777185,0.9603536610592395,False
kmeans,1,3,4,1.8949599799438546,0.9474799899719273,0.999498869243421,0.3463006270559211,0.999468351665296,0.0031451653687223076,0.0015725826843611538,3.854851973683626e-05,366,1.8938046776042317,0.9469023388021158,False
kmeans,0,3,8,2.8829810509706864,0.9609936836568954,0.9993382504111842,0.23287160773026316,0.999498869243421,0.0018246486055588289,0.000608216201852943,0.00016704358552632748,992,2.8814903855697658,0.9604967951899219,False
kmeans,0,3,4,1.8925518545722437,0.9462759272861219,0.9992611533717105,0.3503610711348684,0.9993671618009868,0.003930155854234921,0.0019650779271174605,7.709703947367252e-05,535,1.891955783368153,0.9459778916840765,False
kmeans,1,2,4,1.8949599799438546,0.9474799899719273,0.9992418791118421,0.34527266652960525,0.9992177862870065,0.005000373152081559,0.0025001865760407795,0.0,97,1.8938046776042317,0.9469023388021158,False
gmm,1,3,8,2.8986276273691383,0.9662092091230461,0.9991904810855263,0.20054224917763158,0.9992579409950658,0.0022144459932469745,0.0007381486644156581,3.854851973683626e-05,596,2.897609498584681,0.9658698328615604,False
gmm,1,1,4,1.8915478580149663,0.9457739290074831,0.9991455078125,0.34880628083881576,0.9991230211759868,0.0075972654839938265,0.0037986327419969133,0.0,19,1.891457633921838,0.945728816960919,False
kmeans,1,2,8,2.8831771555957113,0.9610590518652371,0.9991198087993421,0.23910361842105263,0.9991085654810855,0.005433988183065882,0.0018113293943552938,0.0,243,2.8810609831777185,0.9603536610592395,False
kmeans,1,2,16,3.715234296045773,0.9288085740114432,0.9990812602796053,0.17774079975328946,0.9989945261101973,0.007431885543146025,0.0018579713857865062,7.067228618418131e-05,440,3.711265910959864,0.927816477739966,False
kmeans,0,3,16,3.7591965840709944,0.9397991460177486,0.9990298622532895,0.17873663651315788,0.9995133249383223,0.0020577953321420385,0.0005144488330355096,0.0006167763157894912,1891,3.756617991631976,0.939154497907994,False
gmm,0,2,4,1.8969257472657928,0.9484628736328964,0.9989656147203947,0.34745065789473684,0.9989045795641447,0.007349743174256388,0.003674871587128194,0.0,104,1.8969424697129145,0.9484712348564572,False
kmeans,2,3,16,3.785539310761216,0.946384827690304,0.998888517680921,0.1759033203125,0.9991101716694079,0.006491833521541069,0.0016229583803852672,0.0003019634046053099,1392,3.7815361346404646,0.9453840336601161,False
kmeans,2,3,8,2.8776908575054074,0.9592302858351358,0.998792146381579,0.23770302220394737,0.9989463404605263,0.008342452611143043,0.0027808175370476807,0.00019916735197367252,798,2.8748977872872494,0.9582992624290831,False
kmeans,0,2,16,3.7591965840709944,0.9397991460177486,0.9987214740953947,0.17931486430921054,0.9988435444078947,0.005561125909908542,0.0013902814774771355,1.9274259868473642e-05,589,3.756617991631976,0.939154497907994,False
kmeans,0,2,4,1.8925518545722437,0.9462759272861219,0.9987214740953947,0.3522820723684211,0.9987150493421053,0.009231777485191332,0.004615888742595666,0.0,143,1.891955783368153,0.9459778916840765,False
kmeans,0,2,8,2.8829810509706864,0.9609936836568954,0.9986957750822368,0.23401521381578946,0.9985512181332237,0.0074998259100230655,0.0024999419700076886,0.0,275,2.8814903855697658,0.9604967951899219,False
kmeans,1,2,2,0.9460340650372219,0.9460340650372219,0.9986508018092105,0.6350868626644737,0.9986042223478618,0.012440813606224238,0.012440813606224238,0.0,32,0.9464937707035763,0.9464937707035763,False
kmeans,1,3,2,0.9460340650372219,0.9460340650372219,0.9985801295230263,0.6344957853618421,0.9986427708675987,0.011177220742287108,0.011177220742287108,0.0,115,0.9464937707035763,0.9464937707035763,False
kmeans,1,1,2,0.9460340650372219,0.9460340650372219,0.99853515625,0.6342709189967105,0.9986331337376645,0.013781877617296776,0.013781877617296776,0.0,8,0.9464937707035763,0.9464937707035763,False
gmm,0,1,4,1.8969257472657928,0.9484628736328964,0.998522306743421,0.3487548828125,0.9984757272820723,0.012172042693831544,0.006086021346915772,0.0,26,1.8969424697129145,0.9484712348564572,False
kmeans,2,1,2,0.9307395071745987,0.9307395071745987,0.9985094572368421,0.6520739103618421,0.9985817357113487,0.013624774928210976,0.013624774928210976,0.0,8,0.9312203476472645,0.9312203476472645,False
kmeans,2,3,2,0.9307395071745987,0.9307395071745987,0.9984901829769737,0.6524979440789473,0.998609040912829,0.010778647690848828,0.010778647690848828,0.0,101,0.9312203476472645,0.9312203476472645,False
kmeans,2,2,2,0.9307395071745987,0.9307395071745987,0.9984452097039473,0.6533909847861842,0.9985977975945723,0.011565626544464696,0.011565626544464696,0.0,31,0.9312203476472645,0.9312203476472645,False
kmeans,2,3,4,1.9457999711393064,0.9728999855696532,0.9983488384046053,0.34695595189144735,0.9984211168791118,0.012082450733018215,0.006041225366509108,0.00011564555921050879,427,1.9451715598566501,0.9725857799283251,False
kmeans,0,1,4,1.8925518545722437,0.9462759272861219,0.9983167146381579,0.3497250205592105,0.9984452097039473,0.014370805626991364,0.007185402813495682,0.0,33,1.891955783368153,0.9459778916840765,False
kmeans,2,2,16,3.785539310761216,0.946384827690304,0.9983102898848685,0.1764622738486842,0.998059724506579,0.014653464176731629,0.0036633660441829073,5.7822779605309904e-05,425,3.7815361346404646,0.9453840336601161,False
gmm,1,2,8,2.8986276273691383,0.9662092091230461,0.9979569284539473,0.19945646587171054,0.9977673982319079,0.00984053684335371,0.00328017894778457,0.0,161,2.897609498584681,0.9658698328615604,False
gmm,0,3,8,2.77291493439915,0.92430497813305,0.9978348581414473,0.21382863898026316,0.998064543071546,0.006098931186835559,0.0020329770622785196,0.0001220703125,634,2.7597133971863226,0.9199044657287742,False
kmeans,2,2,4,1.9457999711393064,0.9728999855696532,0.9977770353618421,0.34588301809210525,0.9976919073807565,0.01736549164821478,0.00868274582410739,6.424753289491214e-06,132,1.9451715598566501,0.9725857799283251,False
kmeans,1,1,4,1.8949599799438546,0.9474799899719273,0.9977063630756579,0.3468274568256579,0.9975168328536185,0.019385212359803308,0.009692606179901654,0.0,25,1.8938046776042317,0.9469023388021158,False
kmeans,1,1,8,2.8831771555957113,0.9610590518652371,0.997693513569079,0.2374781558388158,0.9977930972450658,0.016989137502792767,0.005663045834264256,0.0,54,2.8810609831777185,0.9603536610592395,False
gmm,3,3,8,2.880127148287275,0.9600423827624249,0.9976806640625,0.23607113486842105,0.997968171772204,0.007514844649146324,0.002504948216382108,8.994654605265495e-05,540,2.87756984352668,0.9591899478422267,False
kmeans,0,1,8,2.8829810509706864,0.9609936836568954,0.9975264699835527,0.23292943050986842,0.9975393194901315,0.015372247297384008,0.005124082432461336,0.0,64,2.8814903855697658,0.9604967951899219,False
kmeans,2,2,8,2.8776908575054074,0.9592302858351358,0.9975200452302632,0.23911646792763158,0.9974076120476973,0.01996574955546123,0.0066552498518204104,3.854851973683626e-05,251,2.8748977872872494,0.9582992624290831,False
gmm,2,3,2,0.9943215214179282,0.9943215214179282,0.997423673930921,0.5463674444901315,0.9975666246916118,0.014367630539640878,0.014367630539640878,0.0,85,0.99420917511853,0.99420917511853,False
kmeans,3,3,4,1.9447286382245972,0.9723643191122986,0.9974043996710527,0.34528551603618424,0.9978011281866777,0.017234621628279986,0.008617310814139993,0.0002891138980263275,651,1.944893036302413,0.9724465181512065,False
gmm,0,2,8,2.77291493439915,0.92430497813305,0.9973979749177632,0.21457391036184212,0.9971297414679277,0.009799382794247927,0.0032664609314159757,1.9274259868473642e-05,202,2.7597133971863226,0.9199044657287742,False
gmm,1,3,2,0.994368067554267,0.994368067554267,0.9973851254111842,0.5462004009046053,0.9975489566200658,0.01478531926832047,0.01478531926832047,0.0,85,0.9942553499844393,0.9942553499844393,False
gmm,2,1,8,2.7837507387318956,0.9279169129106318,0.9973658511513158,0.23779939350328946,0.9972903603001645,0.01835965517246311,0.006119885057487703,0.0,51,2.779329181683152,0.9264430605610506,False
gmm,3,2,16,3.790016295966215,0.9475040739915538,0.9972437808388158,0.17364180715460525,0.996917724609375,0.014222877460363334,0.0035557193650908336,1.9274259868473642e-05,317,3.787781869239205,0.9469454673098012,False
gmm,2,2,2,0.9943215214179282,0.9943215214179282,0.9971666837993421,0.5441637541118421,0.9971811394942435,0.01616578004376085,0.01616578004376085,0.0,27,0.99420917511853,0.99420917511853,False
gmm,1,2,2,0.994368067554267,0.994368067554267,0.997057462993421,0.5440159847861842,0.9970638877467105,0.016753375394820205,0.016753375394820205,0.0,27,0.9942553499844393,0.9942553499844393,False
kmeans,3,2,4,1.9447286382245972,0.9723643191122986,0.9970510382401315,0.3451056229440789,0.9966655530427632,0.02579304921073053,0.012896524605365264,3.212376644734505e-05,227,1.944893036302413,0.9724465181512065,False
kmeans,3,3,8,2.935523158176578,0.9785077193921926,0.9970317639802632,0.1757298519736842,0.9975746556332237,0.01847024332490596,0.006156747774968653,0.0006039268092105088,1129,2.934110145298921,0.9780367150996403,False
gmm,3,3,4,1.9870272091249261,0.9935136045624631,0.996935392680921,0.2974789268092105,0.9970189144736842,0.016600157284912757,0.008300078642456379,1.9274259868473642e-05,277,1.9874938269623734,0.9937469134811867,False
kmeans,1,1,16,3.715234296045773,0.9288085740114432,0.9969032689144737,0.17714972245065788,0.9971698961759868,0.020355142285101744,0.005088785571275436,0.0,106,3.711265910959864,0.927816477739966,False
gmm,1,2,16,3.719861308061855,0.9299653270154637,0.9968839946546053,0.17364180715460525,0.9964358681126645,0.01570401415925939,0.003926003539814847,1.9274259868473642e-05,334,3.714154966826507,0.9285387417066268,False
gmm,0,2,16,3.7564616141222857,0.9391154035305714,0.996826171875,0.17364180715460525,0.996533845600329,0.015558116363721503,0.0038895290909303757,1.9274259868473642e-05,334,3.743253103208597,0.9358132758021492,False
gmm,2,2,4,1.8735784725735072,0.9367892362867536,0.9968197471217105,0.3478746916118421,0.9967265881990132,0.024461164532234587,0.012230582266117293,6.424753289491214e-06,66,1.8715284669202406,0.9357642334601203,False
gmm,3,3,16,3.790016295966215,0.9475040739915538,0.9967811986019737,0.17305072985197367,0.9970767372532895,0.011410297534564762,0.0028525743836411905,0.00014134457236847364,896,3.787781869239205,0.9469454673098012,False
gmm,2,3,4,1.8735784725735072,0.9367892362867536,0.9967811986019737,0.3457159745065789,0.9968647203947368,0.02214406911801573,0.011072034559007866,2.5699013157853834e-05,225,1.8715284669202406,0.9357642334601203,False
gmm,0,1,8,2.77291493439915,0.92430497813305,0.9967298005756579,0.2142847964638158,0.996538664165296,0.01645249635758276,0.005484165452527587,0.0,58,2.7597133971863226,0.9199044657287742,False
gmm,2,2,16,3.780362090302912,0.945090522575728,0.9965756064967105,0.17398874383223684,0.996350740131579,0.016306905418349043,0.004076726354587261,6.424753289491214e-06,311,3.7762098435008813,0.9440524608752203,False
gmm,0,3,16,3.7564616141222857,0.9391154035305714,0.9965370579769737,0.17305072985197367,0.9970140959087171,0.011005670982797524,0.002751417745699381,0.00016704358552632748,956,3.743253103208597,0.9358132758021492,False
gmm,3,2,8,2.880127148287275,0.9600423827624249,0.9965370579769737,0.2374781558388158,0.9964069567228618,0.015097530254887684,0.005032510084962561,1.9274259868473642e-05,155,2.87756984352668,0.9591899478422267,False
