time,Q_mean,Q_std
0,1.3341868,21.407883
1,0.9437555,21.537878
2,0.38975745,21.875784
3,0.24425036,21.994898
4,0.1599114,22.085737
5,0.16795272,22.161547
6,0.16104761,22.211987
7,0.034515142,22.282213
8,-0.042452186,22.264042
9,-0.09505649,22.222857
10,-0.114889786,22.263325
11,-0.1328361,22.241644
12,-0.15679088,22.206217
13,-0.15103726,22.211607
14,-0.16281863,22.200413
15,-0.15365815,22.191927
16,-0.14543968,22.210852
17,-0.1134447,22.249758
18,-0.08951512,22.281155
19,-0.068362206,22.275253
20,-0.04865037,22.212133
21,-0.025048226,22.174679
22,-0.01556097,22.15972
23,-0.026288375,22.176638
24,-0.026289195,22.17664
25,-0.026288584,22.17664
26,-0.026287362,22.17664
27,-0.02628848,22.17664
28,-0.026286304,22.17664
29,-0.026289225,22.17664
30,-0.026288748,22.17664
31,-0.026288822,22.176641
32,-0.026288122,22.176641
33,-0.02628848,22.17664
34,-0.026286334,22.176641
35,-0.026288047,22.176638
36,-0.02628927,22.176638
37,-0.026288316,22.17664
38,-0.026288196,22.176641
39,-0.026287511,22.176638
40,-0.02628681,22.17664
41,-0.026288837,22.17664
42,-0.02628854,22.17664
43,-0.02629,22.17664
44,-0.02628702,22.17664
45,-0.02628778,22.176638
46,-0.026285872,22.17664
47,-0.02628702,22.176638
48,-0.026289552,22.176638
49,-0.026287958,22.17664
50,-0.026287705,22.176641
51,-0.026287273,22.17664
52,-0.026285931,22.17664
53,-0.026289254,22.176638
54,-0.026288703,22.17664
55,-0.026290268,22.176638
56,-0.026287854,22.17664
57,-0.026287928,22.176638
58,-0.026286274,22.176641
59,-0.02628693,22.176638
60,-0.02628915,22.176638
61,-0.026288912,22.17664
62,-0.026288122,22.17664
63,-0.026288629,22.17664
64,-0.026287124,22.176641
65,-0.026288107,22.17664
66,-0.026287705,22.17664
67,-0.026290014,22.176638
68,-0.026287094,22.17664
69,-0.02628684,22.17664
70,-0.026286572,22.176641
71,-0.026287183,22.176638
72,-0.026290163,22.176641
73,-0.026289523,22.17664
74,-0.026287302,22.17664
75,-0.026288629,22.17664
76,-0.026287049,22.176641
77,-0.02628994,22.17664
78,-0.026288062,22.17664
79,-0.026290178,22.17664
80,-0.0262883,22.17664
81,-0.026287377,22.17664
82,-0.026286438,22.176641
83,-0.0262862,22.176638
84,-0.026288688,22.17664
85,-0.02628979,22.17664
86,-0.026287362,22.17664
87,-0.02628836,22.17664
88,-0.026288003,22.17664
89,-0.026288062,22.17664
90,-0.026288092,22.17664
91,-0.02628979,22.17664
92,-0.026288554,22.17664
93,-0.026288658,22.17664
94,-0.026286915,22.176641
95,-0.026286572,22.176638
