cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
kmeans,0,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6504163240131579,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,True
kmeans,0,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6497481496710527,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,1,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6558902138157895,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,False
kmeans,1,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6544510690789473,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,2,1,2,0.9310677274039911,0.9310677274039911,1.0,0.6558902138157895,1.0,0.0,0.0,0.0,8,0.9310677274039911,0.9310677274039911,False
kmeans,2,2,2,0.9310677274039911,0.9310677274039911,1.0,0.6544510690789473,1.0,0.0,0.0,0.0,32,0.9310677274039911,0.9310677274039911,False
kmeans,2,2,4,1.898760526081523,0.9493802630407615,0.9996402138157895,0.34428967927631576,0.9997237356085527,0.002908955125333718,0.001454477562666859,7.709703947367252e-05,105,1.8980524983051634,0.9490262491525817,False
gmm,0,2,4,1.8976953282839024,0.9488476641419512,0.9996402138157895,0.3458316200657895,0.9996916118421053,0.0023897722413727413,0.0011948861206863707,0.0,80,1.8975922433695465,0.9487961216847732,False
kmeans,0,2,4,1.8991075207707517,0.9495537603853759,0.9996145148026315,0.3429019325657895,0.9997173108552632,0.000827168185142773,0.0004135840925713865,5.139802631581869e-05,90,1.8986945756762355,0.9493472878381177,False
kmeans,1,2,4,1.8984319390381168,0.9492159695190584,0.9993575246710527,0.34428967927631576,0.9993446751644737,0.005867029506311741,0.0029335147531558705,0.0,70,1.8980053408474502,0.9490026704237251,False
kmeans,0,2,8,2.889870993303456,0.963290331101152,0.9991005345394737,0.23568564967105263,0.9991776315789473,0.005144196093603131,0.0017147320312010435,0.00012849506578949121,192,2.888168414647134,0.9627228048823779,False
kmeans,2,1,4,1.898760526081523,0.9493802630407615,0.9990491365131579,0.3428762335526316,0.9989848889802632,0.010024464461602742,0.005012232230801371,0.0,26,1.8980524983051634,0.9490262491525817,False
