center_cell,left_neighbor,right_neighbor,next_cell,neighborhood_class,local_density,local_current,method,x,y
1,1,0,0,6,0.6666667,,pca,0.4592352220790216,0.3736959782023148
1,1,0,0,6,0.6666667,,pca,0.5114467802705991,0.2682284026341921
0,0,0,0,0,0.0,,pca,-0.38013390514179013,-0.637788856240936
1,1,0,0,6,0.6666667,,pca,0.5298179044981914,0.1389108967507484
1,0,1,1,3,0.6666667,,pca,0.5536938546356958,-0.16895873299680864
0,0,0,0,0,0.0,,pca,-0.5380454858283625,-0.39950857566031706
1,1,1,0,7,1.0,,pca,0.4419451369178141,0.6130526464913713
0,1,0,1,4,0.33333334,,pca,-0.5437819603089838,-0.014681707552173462
1,0,0,1,2,0.33333334,,pca,0.6349342355240255,-0.4677070732450046
1,0,1,1,3,0.6666667,,pca,0.644440821139407,-0.061902143325131
0,0,0,0,0,0.0,,pca,-0.38013382070555823,-0.6377888825226148
1,1,0,0,6,0.6666667,,pca,0.5298178075680785,0.1389110471100481
1,1,1,0,7,1.0,,pca,0.4264226811522551,0.3989266640427276
0,0,1,1,1,0.33333334,,pca,-0.39422984321231924,-0.4029843774266295
0,0,0,0,0,0.0,,pca,-0.4843191776065604,-0.4107071115349815
0,0,1,1,1,0.33333334,,pca,-0.3568521961479435,-0.37774099500180847
0,1,1,0,5,0.6666667,,pca,-0.6758814367570142,0.5075344408918439
0,0,0,0,0,0.0,,pca,-0.49495413558990253,-0.3930974405405251
1,1,0,0,6,0.6666667,,pca,0.502285829762757,0.21175997629315124
1,1,0,0,6,0.6666667,,pca,0.46869678687786087,0.35368933709339356
0,0,0,0,0,0.0,,pca,-0.5231718049174221,-0.40792160886791273
1,1,1,0,7,1.0,,pca,0.4858410152725884,0.5008712602162004
1,1,1,0,7,1.0,,pca,0.42642270963879547,0.39892671853320993
1,0,1,1,3,0.6666667,,pca,0.6551022206020849,-0.11049931290070814
0,1,0,1,4,0.33333334,,pca,-0.6376214215281623,0.28015316555331937
0,0,0,0,0,0.0,,pca,-0.46486088346650256,-0.5410045936379554
1,0,1,1,3,0.6666667,,pca,0.644515296373156,-0.1528467026777356
0,0,0,0,0,0.0,,pca,-0.5279087704367654,-0.41753655918097743
1,1,1,0,7,1.0,,pca,0.42642262016428845,0.39892677369251217
0,1,0,1,4,0.33333334,,pca,-0.5948789449720381,0.22317611972623808
1,0,1,1,3,0.6666667,,pca,0.6132795734649106,-0.1154970448226027
0,1,1,0,5,0.6666667,,pca,-0.6381176751219503,0.46271415628427826
